hopcount;requestratio
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;100;0.03
1;100;0.01
1;100;0.01
1;100;0.02
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;100;0.01
1;250;0.012
1;250;0.004
1;250;0.004
1;250;0.008
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;250;0.004
1;300;0.01
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.006666666666666667
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;300;0.0033333333333333335
1;200;0.015
1;200;0.005
1;200;0.005
1;200;0.01
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
1;200;0.005
